iter	Passed	Remaining
907	1261	127
908	1262	126
909	1264	125
910	1265	123
911	1266	122
912	1267	120
913	1268	119
914	1269	117
915	1270	116
916	1271	115
917	1272	113
918	1273	112
919	1275	110
920	1276	109
921	1277	108
922	1278	106
923	1279	105
924	1280	103
925	1282	102
926	1283	101
927	1284	99
928	1285	98
929	1286	96
930	1287	95
931	1288	94
932	1289	92
933	1290	91
934	1291	89
935	1292	88
936	1294	87
937	1295	85
938	1296	84
939	1297	82
940	1298	81
941	1299	80
942	1300	78
943	1301	77
944	1302	75
945	1303	74
946	1304	73
947	1306	71
948	1307	70
949	1308	68
950	1309	67
951	1310	66
952	1311	64
953	1312	63
954	1313	61
955	1314	60
956	1315	59
957	1316	57
958	1318	56
959	1319	54
960	1320	53
961	1321	52
962	1322	50
963	1323	49
964	1325	48
965	1326	46
966	1327	45
967	1328	43
968	1329	42
969	1330	41
970	1331	39
971	1332	38
972	1333	37
973	1334	35
974	1336	34
975	1337	32
976	1338	31
977	1339	30
978	1340	28
979	1341	27
980	1342	26
981	1343	24
982	1344	23
983	1346	21
984	1347	20
985	1348	19
986	1349	17
987	1350	16
988	1351	15
989	1353	13
990	1354	12
991	1355	10
992	1356	9
993	1357	8
994	1358	6
995	1359	5
996	1360	4
997	1362	2
998	1363	1
999	1364	0
