iter	Passed	Remaining
304	496	1131
305	497	1128
306	498	1126
307	500	1123
308	501	1121
309	502	1119
310	504	1117
311	505	1114
312	506	1112
313	508	1110
314	509	1108
315	510	1105
316	512	1103
317	513	1102
318	515	1100
319	516	1098
320	518	1096
321	519	1094
322	520	1091
323	522	1089
324	524	1089
325	526	1087
326	527	1085
327	528	1083
328	530	1081
329	531	1079
330	532	1077
331	534	1074
332	535	1072
333	538	1074
334	540	1072
335	541	1070
336	543	1068
337	546	1070
338	547	1068
339	549	1066
340	550	1063
341	551	1061
342	552	1058
343	553	1056
344	554	1053
345	556	1051
346	557	1049
347	558	1046
348	560	1044
349	561	1042
350	562	1039
351	563	1037
352	564	1035
353	565	1032
354	567	1030
355	568	1027
356	569	1025
357	570	1022
358	571	1019
359	572	1017
360	573	1015
361	574	1012
362	575	1010
363	576	1008
364	578	1005
365	579	1003
366	580	1000
367	581	998
368	582	996
369	583	993
370	584	991
371	586	989
372	587	987
373	588	985
374	590	983
375	592	983
376	593	981
377	595	979
378	596	977
379	597	975
380	599	973
381	600	971
382	601	969
383	602	967
384	604	965
385	605	963
386	606	960
387	607	958
388	608	956
389	609	953
390	610	951
391	611	949
392	613	947
393	614	944
394	615	942
395	616	940
396	617	937
397	618	935
398	619	933
399	620	931
400	621	929
401	623	927
402	624	925
403	625	922
404	626	920
405	627	918
406	628	916
407	629	913
408	630	911
409	632	909
410	633	907
411	634	905
412	635	903
413	636	900
414	637	898
415	638	896
416	639	894
417	640	891
418	641	889
419	642	887
420	644	885
421	645	883
422	646	881
423	647	879
424	648	877
425	649	875
426	650	872
427	651	870
428	652	868
429	653	866
430	654	864
431	655	862
432	657	860
433	658	858
434	659	856
435	660	854
436	661	852
437	662	850
438	663	848
439	665	846
440	666	844
441	667	842
442	668	840
443	669	838
444	670	836
445	671	834
446	672	832
447	673	830
448	674	828
449	676	826
450	677	824
451	678	822
452	679	820
453	680	818
454	681	816
455	682	813
456	683	811
457	684	809
458	685	807
459	686	805
460	687	803
461	688	801
462	689	799
463	690	797
464	691	795
465	692	793
466	693	791
467	694	789
468	695	787
469	696	785
